state,slug,flutter,native,width,height,threshold,mismatch_percent,mae,difference_bbox,product_mismatch_notes,renderer_residual_notes
01 login initial,01-login-initial,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-01-login-initial.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-01-login-initial.png,1080,2400,16,0.8916,2.0931,"[22, 15, 1017, 1763]",,
02 login focused,02-login-focused,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-02-login-focused.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-02-login-focused.png,1080,2400,16,5.0762,4.1656,"[12, 15, 1068, 2243]",,
03 login filled,03-login-filled,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-03-login-filled.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-03-login-filled.png,1080,2400,16,5.034,4.2091,"[12, 15, 1068, 2243]",,
04 login error,04-login-error,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-04-login-error.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-04-login-error.png,1080,2400,16,2.0368,2.9214,"[22, 15, 1059, 2359]",,
05 login loading,05-login-loading,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-05-login-loading.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-05-login-loading.png,1080,2400,16,1.5481,2.8145,"[22, 15, 1017, 1757]",,
06 otp initial,06-otp-initial,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-06-otp-initial.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-06-otp-initial.png,1080,2400,16,9.4231,9.1111,"[0, 15, 1069, 2259]",,
07 otp partial,07-otp-partial,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-07-otp-partial.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-07-otp-partial.png,1080,2400,16,9.5051,9.2837,"[0, 15, 1069, 2259]",,
08 otp error,08-otp-error,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-08-otp-error.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-08-otp-error.png,1080,2400,16,0.9767,2.3725,"[22, 15, 1017, 1820]",,
09 otp resend,09-otp-resend,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\flutter\login\flutter-09-otp-resend.png,E:\vista_native_integration\docs\evidence\2026-08-01-int-01-native-ui-parity\native\login\native-09-otp-resend.png,1080,2400,16,0.8152,2.3169,"[22, 15, 1017, 1854]",,
